timestamp_iso,pc_host,device_name,ip,on,today_kwh,month_kwh,current_power_w,voltage_v,current_a,cloud_connected,rssi,ssid,device_time,firmware,model,alias,mac,today_kwh_delta,month_kwh_delta,power_avg_w_since_last
2026-08-07T16:34:46,SGN-00007,8431,192.168.6.63,True,1.747,4.109,14.2,113.9,0.27,True,-59,Trees-Guest,2026-08-07 16:34:52-07:00,1.2.5 Build 241213 Rel.172504,KP125M,8431,A8:29:48:23:4C:9C,0.002,0.002,12.0
2026-08-07T16:34:46,SGN-00007,8432,192.168.6.134,True,0.061,4.484,1.5,118.6,0.2,True,-62,Trees-Guest,2026-08-07 16:34:53-07:00,1.2.5 Build 241213 Rel.172504,KP125M,8432,A8:29:48:23:52:E1,0.0,0.0,0.0
2026-08-07T16:34:46,SGN-00007,8433,192.168.6.192,True,2.272,13.104,14.7,118.4,0.27,True,-57,Trees-Guest,2026-08-07 16:34:54-07:00,1.2.5 Build 241213 Rel.172504,KP125M,8433,A8:29:48:23:54:40,0.003,0.003,18.0
2026-08-07T16:34:46,SGN-00007,8472,192.168.6.65,True,2.069,16.289,1.2,116.8,0.09,True,-54,Trees-Guest,2026-08-07 16:34:55-07:00,1.2.5 Build 241213 Rel.172504,KP125M,8472,A8:29:48:23:52:1F,0.001,0.001,6.0
2026-08-07T16:34:46,SGN-00007,8475,192.168.6.64,True,2.902,17.993,709.9,115.1,6.15,True,-57,Trees-Guest,2026-08-07 16:34:56-07:00,1.2.5 Build 241213 Rel.172504,KP125M,8475,A8:29:48:23:54:DC,0.146,0.146,876.0
2026-08-07T16:34:46,SGN-00007,8480,192.168.6.62,True,2.825,15.653,605.7,112.8,5.35,True,-66,Trees-Guest,2026-08-07 16:34:57-07:00,1.2.5 Build 241213 Rel.172504,KP125M,8480,A8:29:48:23:5D:DC,0.144,0.144,864.0
2026-08-07T16:34:46,SGN-00007,8631,192.168.6.58,True,2.188,14.937,709.4,113.9,6.21,True,-83,Trees-Guest,2026-08-07 16:34:58-07:00,1.2.5 Build 241213 Rel.172504,KP125M,8631,6C:4C:BC:43:69:C7,0.119,0.119,714.0
2026-08-07T16:34:46,SGN-00007,8632,192.168.6.169,True,2.254,13.24,744.4,114.0,6.51,True,-61,Trees-Guest,2026-08-07 16:34:59-07:00,1.2.5 Build 241213 Rel.172504,KP125M,8632,6C:4C:BC:43:80:FB,0.124,0.124,744.0
2026-08-07T16:34:46,SGN-00007,8633,192.168.6.157,True,2.097,9.824,673.7,112.5,5.96,True,-56,Trees-Guest,2026-08-07 16:35:01-07:00,1.2.5 Build 241213 Rel.172504,KP125M,8633,6C:4C:BC:43:69:D1,0.112,0.112,672.0
