Item,Date,Location,Robot,Miles Traveled during day,Robot Time On During Day,Robot Time In Motion During Day
114129,4/29/2026,sierra-gold,8431,3.8,7:22,1:32
114130,4/29/2026,sierra-gold,8432,3.8,7:22,1:29
114131,4/29/2026,sierra-gold,8433,3.7,7:22,1:20
114123,4/29/2026,sierra-gold,8472,1.2,7:39,0:28
114124,4/29/2026,sierra-gold,8475,1.5,7:38,0:34
114125,4/29/2026,sierra-gold,8480,1.6,7:37,0:41
114189,4/29/2026,sierra-gold,8632,0.9,7:03,0:26
113960,4/28/2026,sierra-gold,8431,4.9,7:58,1:51
113961,4/28/2026,sierra-gold,8432,5.8,8:17,2:13
113962,4/28/2026,sierra-gold,8433,5.4,8:01,1:52
113954,4/28/2026,sierra-gold,8472,4.4,8:31,1:49
113955,4/28/2026,sierra-gold,8475,5.6,8:38,2:11
113956,4/28/2026,sierra-gold,8480,4.6,8:37,1:57
114025,4/28/2026,sierra-gold,8631,1.1,8:21,0:30
114045,4/28/2026,sierra-gold,8633,0.1,0:12,0:03
113783,4/27/2026,sierra-gold,8431,5.3,8:33,2:01
113784,4/27/2026,sierra-gold,8432,5.8,8:22,2:08
113785,4/27/2026,sierra-gold,8433,5.6,8:06,1:57
113781,4/27/2026,sierra-gold,8472,6.8,9:22,2:56
113782,4/27/2026,sierra-gold,8475,8.4,9:17,3:34
113780,4/27/2026,sierra-gold,8480,6.8,9:20,2:55
113786,4/27/2026,sierra-gold,8631,0.5,8:19,0:15
113792,4/27/2026,sierra-gold,8632,0.2,6:03,0:04
113793,4/27/2026,sierra-gold,8633,0.3,6:03,0:09
113424,4/24/2026,sierra-gold,8431,3.7,12:12,1:24
113425,4/24/2026,sierra-gold,8432,5.4,14:38,2:04
113426,4/24/2026,sierra-gold,8433,5.6,14:45,1:56
113427,4/24/2026,sierra-gold,8472,5.2,14:55,2:09
113428,4/24/2026,sierra-gold,8475,8.1,14:55,3:10
113429,4/24/2026,sierra-gold,8480,5.6,14:55,2:20
113418,4/24/2026,sierra-gold,8631,0.1,10:10,0:04
113419,4/24/2026,sierra-gold,8632,1.5,11:01,0:35
113420,4/24/2026,sierra-gold,8633,0.1,8:55,0:03
113325,4/23/2026,sierra-gold,8431,4.7,17:22,1:52
113326,4/23/2026,sierra-gold,8432,4.5,17:22,1:41
113327,4/23/2026,sierra-gold,8433,4.8,17:22,1:44
113322,4/23/2026,sierra-gold,8472,5.6,17:33,2:25
113323,4/23/2026,sierra-gold,8475,7.1,17:37,2:45
113324,4/23/2026,sierra-gold,8480,6.0,17:37,2:25
113359,4/23/2026,sierra-gold,8631,0.5,13:28,0:12
113360,4/23/2026,sierra-gold,8632,0.4,13:51,0:10
113361,4/23/2026,sierra-gold,8633,1.0,13:53,0:29
113149,4/22/2026,sierra-gold,8431,3.7,8:10,1:49
113150,4/22/2026,sierra-gold,8432,4.4,8:27,2:01
113151,4/22/2026,sierra-gold,8433,4.2,8:20,1:51
113141,4/22/2026,sierra-gold,8472,5.1,8:34,2:22
113142,4/22/2026,sierra-gold,8475,5.9,8:37,2:27
113143,4/22/2026,sierra-gold,8480,4.5,8:36,1:58
112914,4/21/2026,sierra-gold,8431,4.3,14:43,2:04
112915,4/21/2026,sierra-gold,8432,4.0,14:40,1:52
112916,4/21/2026,sierra-gold,8433,4.0,14:54,1:44
112917,4/21/2026,sierra-gold,8472,4.4,14:53,1:57
112918,4/21/2026,sierra-gold,8475,5.6,14:52,2:36
112919,4/21/2026,sierra-gold,8480,4.8,14:54,2:02
112813,4/20/2026,sierra-gold,8431,4.4,17:06,2:08
112814,4/20/2026,sierra-gold,8432,4.9,17:16,2:15
112815,4/20/2026,sierra-gold,8433,4.9,17:05,2:06
112808,4/20/2026,sierra-gold,8472,5.6,17:32,2:13
112809,4/20/2026,sierra-gold,8475,6.0,17:32,2:09
112810,4/20/2026,sierra-gold,8480,5.6,17:25,2:16
112572,4/17/2026,sierra-gold,8431,4.7,8:10,2:05
112573,4/17/2026,sierra-gold,8432,4.6,7:52,2:02
112574,4/17/2026,sierra-gold,8433,4.6,8:20,1:57
112557,4/17/2026,sierra-gold,8472,6.0,8:33,2:26
112558,4/17/2026,sierra-gold,8475,6.8,8:30,2:38
112559,4/17/2026,sierra-gold,8480,5.4,8:36,2:09
112401,4/16/2026,sierra-gold,8431,5.4,8:22,2:28
112402,4/16/2026,sierra-gold,8432,5.2,8:11,2:21
112403,4/16/2026,sierra-gold,8433,4.7,8:14,2:01
112390,4/16/2026,sierra-gold,8472,7.3,8:34,2:45
112391,4/16/2026,sierra-gold,8475,9.5,8:40,3:22
112389,4/16/2026,sierra-gold,8480,7.5,8:39,2:37
112240,4/15/2026,sierra-gold,8431,5.3,8:23,2:28
112241,4/15/2026,sierra-gold,8432,5.6,8:19,2:33
112242,4/15/2026,sierra-gold,8433,4.7,8:06,2:12
112203,4/15/2026,sierra-gold,8472,5.7,8:38,2:12
112204,4/15/2026,sierra-gold,8475,5.8,8:32,2:02
112205,4/15/2026,sierra-gold,8480,5.8,8:46,2:01
112032,4/14/2026,sierra-gold,8431,5.8,8:29,2:29
112033,4/14/2026,sierra-gold,8432,5.2,8:24,2:15
112034,4/14/2026,sierra-gold,8433,4.7,8:13,2:00
112009,4/14/2026,sierra-gold,8472,6.8,8:35,2:37
112010,4/14/2026,sierra-gold,8475,8.9,8:34,3:03
